ID SCAFFOLD PROPERTY DIFF
CHEMBL246687 c1ccc(Cn2ncc3cc(Nc4ncnn5ccc(CN6CCCC6)c45)ccc32)cc1 6.582
gen_0 c1ccc(Cn2ncc3cc(Nc4ncnn5ccc(CN6CCCC6)c45)ccc32)cc1 6.582 0.000
gen_1 c1ccc(Cn2ncc3cc(Nc4ncnn5ccc(CN6CCCC6)c45)ccc32)cc1 6.582 0.000
gen_2 c1ccc(Cn2ncc3cc(Nc4ncnn5ccc(CN6CCCC6)c45)ccc32)cc1 6.582 0.000
gen_3 c1ccc(Cn2ncc3cc(Nc4ncnn5ccc(CN6CCCC6)c45)ccc32)cc1 6.582 0.000
gen_4 c1ccc(Cn2ncc3cc(Nc4ncnn5ccc(CN6CCCC6)c45)ccc32)cc1 6.582 0.000
gen_5 c1ccc(Cn2ncc3cc(Nc4ncnn5ccc(CN6CCCC6)c45)ccc32)cc1 6.582 0.000
gen_6 c1ccc(Cn2ncc3cc(Nc4ncnn5ccc(CN6CCCC6)c45)ccc32)cc1 6.582 0.000
gen_7 O[C@@H]1CCN(Cc2ccn3ncnc(Nc4ccc5c(cnn5Cc5ccccc5)c4)c23)C1 6.621 0.038
gen_8 c1ccc(Cn2ncc3cc(Nc4ncnn5ccc(CN6CCCC6)c45)ccc32)cc1 6.582 0.000
gen_9 c1ccc(Cn2ncc3cc(Nc4ncnn5ccc(CN6CCCC6)c45)ccc32)cc1 6.582 0.000
gen_10 c1ccc(Cn2ncc3cc(Nc4ncnn5ccc(CN6CCCC6)c45)ccc32)cc1 6.582 0.000
gen_11 c1ccc(Cn2ncc3cc(Nc4ncnn5ccc(CN6CCCC6)c45)ccc32)cc1 6.582 0.000
gen_12 c1ccc(Cn2ncc3cc(Nc4ncnn5ccc(CN6CCCC6)c45)ccc32)cc1 6.582 0.000
gen_13 c1ccc(Cn2ncc3cc(Nc4ncnn5ccc(CN6CCCC6)c45)ccc32)cc1 6.582 0.000
gen_14 CCC(N)=O.C[C@@H]1CCCN1Cc1ccn2ncnc(Nc3ccc4c(cnn4Cc4ccccc4)c3)c12 6.221 0.362
gen_15 c1ccc(Cn2ncc3cc(Nc4ncnn5ccc(CN6CCCC6)c45)ccc32)cc1 6.582 0.000
gen_16 c1ccc(Cn2ncc3cc(Nc4ncnn5ccc(CN6CCCC6)c45)ccc32)cc1 6.582 0.000
gen_17 c1ccc(Cn2ncc3cc(Nc4ncnn5ccc(CN6CCCC6)c45)ccc32)cc1 6.582 0.000
gen_18 c1ccc(Cn2ncc3cc(Nc4ncnn5ccc(CN6CCCC6)c45)ccc32)cc1 6.582 0.000
gen_19 O[C@@H]1CCN(Cc2ccn3ncnc(Nc4ccc5c(cnn5Cc5ccccc5)c4)c23)C1 6.621 0.038
gen_20 c1ccc(Cn2ncc3cc(Nc4ncnn5ccc(CN6CCCC6)c45)ccc32)cc1 6.582 0.000
gen_21 c1ccc(Cn2ncc3cc(Nc4ncnn5ccc(CN6CCCC6)c45)ccc32)cc1 6.582 0.000
gen_22 c1ccc(Cn2ncc3cc(Nc4ncnn5ccc(CN6CCCC6)c45)ccc32)cc1 6.582 0.000
gen_23 c1ccc(Cn2ncc3cc(Nc4ncnn5ccc(CN6CCCC6)c45)ccc32)cc1 6.582 0.000
gen_24 c1ccc(Cn2ncc3cc(Nc4ncnn5ccc(CN6CCCC6)c45)ccc32)cc1 6.582 0.000
gen_25 c1ccc(Cn2ncc3cc(Nc4ncnn5ccc(CN6CCCC6)c45)ccc32)cc1 6.582 0.000
gen_26 c1ccc(Cn2ncc3cc(Nc4ncnn5ccc(CN6CCCC6)c45)ccc32)cc1 6.582 0.000
gen_27 c1ccc(Cn2ncc3cc(Nc4ncnn5ccc(CN6CCCC6)c45)ccc32)cc1 6.582 0.000
gen_28 c1ccc(Cn2ncc3cc(Nc4ncnn5ccc(CN6CCCC6)c45)ccc32)cc1 6.582 0.000
gen_29 Cc1cccc(Cn2ncc3cc(Nc4ncnn5ccc(CN6CCCC6)c45)ccc32)c1 6.623 0.041

ID SCAFFOLD PROPERTY DIFF
CHEMBL205089 O=C(Nc1ccc(Oc2ncnc3ccccc23)cc1)NC1CCCCC1 6.287
gen_0 COC.O=C(Nc1ccc(Oc2ncnc3ccccc23)cc1)NC1CCC(O)CC1 6.398 0.111
gen_1 COC.O=C(Nc1ccc(Oc2ncnc3ccccc23)cc1)NC1CCC(O)CC1 6.398 0.111
gen_2 COC.O=C(Nc1ccc(Oc2ncnc3ccccc23)c([Cl:0])c1)NC1CCC(O)CC1 6.503 0.217
gen_3 COC.COc1ccc2ncnc(Oc3ccc(NC(=O)NC4CCC(O)CC4)cc3)c2c1 6.793 0.506
gen_4 COC.O=C(Nc1ccc(Oc2ncnc3ccccc23)cc1)NC1CCC(O)CC1 6.398 0.111
gen_5 COC.Cc1cc(Oc2ncnc3ccccc23)ccc1NC(=O)NC1CCCCC1 5.928 0.359
gen_6 COC.O=C(Nc1ccc(Oc2ncnc3ccccc23)cc1)N[C@H]1CC[C@H](O)[C@H](O)C1 7.054 0.768
gen_7 COC.O=C(Nc1ccc(Oc2ncnc3ccccc23)cc1)NC1CCC(O)CC1 6.398 0.111
gen_8 COC.O=C(Nc1ccc(Oc2ncnc3ccccc23)cc1)NC1CCC(O)CC1 6.398 0.111
gen_9 COC.COc1ccc2ncnc(Oc3ccc(NC(=O)N[C@@H]4CCCC[C@@H]4O)cc3)c2c1 7.363 1.077
gen_10 COC.O=C(Nc1ccc(Oc2ncnc3ccccc23)cc1)NC1CCC(O)CC1 6.398 0.111
gen_11 COC.O=C(Nc1ccc(Oc2ncnc3ccccc23)cc1)NC1CCC(O)CC1 6.398 0.111
gen_12 COC.O=C(Nc1ccc(Oc2ncnc3ccccc23)cc1)NC1CCC(O)CC1 6.398 0.111
gen_13 COC.O=C(Nc1ccc(Oc2ncnc3ccccc23)cc1)N[C@H]1CC[C@H](O)[C@H](O)C1 7.054 0.768
gen_14 COC.COc1ccc2ncnc(Oc3ccc(NC(=O)N[C@H]4CCCC[C@H]4O)cc3)c2c1 7.242 0.956
gen_15 COC.O=C(Nc1ccc(Oc2ncnc3ccccc23)cc1)NC1CCC(O)CC1 6.398 0.111
gen_16 COC.O=C(Nc1ccc(Oc2ncnc3ccccc23)cc1)NC1CCC(O)CC1 6.398 0.111
gen_17 COC.Cc1ccc2ncnc(Oc3ccc(NC(=O)N[C@@H]4CC[C@H](O)[C@@H](O)C4)cc3)c2c1 7.581 1.295
gen_18 COC.COc1ccc2c(Oc3ccc(NC(=O)NC4CCCCC4)cc3)ncnc2c1 6.823 0.537

ID SCAFFOLD PROPERTY DIFF
CHEMBL512124 O=C(c1ccccc1NCc1ccc2cn[nH]c2c1)c1n[nH]c2ccccc12 6.590
gen_0 Cn1cc2ccc(CNc3ccccc3C(=O)c3nn(C)c4ccccc34)cc2n1 6.101 0.489
gen_1 Cn1cc2ccc(CNc3ccccc3C(=O)c3nn(C)c4ccccc34)cc2n1 6.101 0.489
gen_2 Cn1cc2ccc(CNc3ccccc3C(=O)c3nn(C)c4ccccc34)cc2n1 6.101 0.489
gen_3 Cn1cc2ccc(CNc3ccccc3C(=O)c3nn(C)c4ccccc34)cc2n1 6.101 0.489

ID SCAFFOLD PROPERTY DIFF
CHEMBL400253 O=C1NN=C(c2cnns2)/C1=C/c1c[nH]c2ccccc12 6.259
gen_0 Cn1cc(/C=C2\C(=O)NN=C2c2cnns2)c2ccccc21 6.601 0.343
gen_1 Cc1ccc2c(/C=C3\C(=O)NN=C3c3cnns3)cn(C)c2c1 7.502 1.243
gen_2 Cc1nnsc1C1=NNC(=O)/C1=C\c1cn(C)c2ccccc12 6.730 0.471
gen_3 COC.Cc1cc2c(cc1[Br:0])c(/C=C1\C(=O)NN=C1c1cnns1)cn2C 7.387 1.128
gen_4 Cc1nnsc1C1=NNC(=O)/C1=C\c1cn(C)c2ccccc12 6.730 0.471
gen_5 Cn1cc(/C=C2\C(=O)NN=C2c2cnns2)c2ccccc21 6.601 0.343
gen_6 Cn1cc(/C=C2\C(=O)NN=C2c2cnns2)c2ccccc21 6.601 0.343
gen_7 Cn1cc(/C=C2\C(=O)NN=C2c2cnns2)c2ccccc21 6.601 0.343
gen_8 Cn1cc(/C=C2\C(=O)NN=C2c2cnns2)c2ccccc21 6.601 0.343
gen_9 Cn1cc(/C=C2\C(=O)NN=C2c2cnns2)c2ccccc21 6.601 0.343
gen_10 Cn1cc(/C=C2\C(=O)NN=C2c2cnns2)c2ccccc21 6.601 0.343
gen_11 Cc1nnsc1C1=NNC(=O)/C1=C\c1cn(C)c2ccccc12 6.730 0.471
gen_12 Cc1nnsc1C1=NNC(=O)/C1=C\c1cn(C)c2ccccc12 6.730 0.471
gen_13 Cc1nnsc1C1=NNC(=O)/C1=C\c1cn(C)c2ccccc12 6.730 0.471
gen_14 Cn1cc(/C=C2\C(=O)NN=C2c2cnns2)c2ccccc21 6.601 0.343
gen_15 Cc1nnsc1C1=NNC(=O)/C1=C\c1cn(C)c2ccccc12 6.730 0.471
gen_16 Cc1nnsc1C1=NNC(=O)/C1=C\c1cn(C)c2ccccc12 6.730 0.471
gen_17 Cc1nnsc1C1=NNC(=O)/C1=C\c1cn(C)c2ccccc12 6.730 0.471
gen_18 Cn1cc(/C=C2\C(=O)NN=C2c2cnns2)c2ccccc21 6.601 0.343
gen_19 Cn1cc(/C=C2\C(=O)NN=C2c2cnns2)c2ccccc21 6.601 0.343
gen_20 Cc1nnsc1C1=NNC(=O)/C1=C\c1cn(C)c2ccccc12 6.730 0.471
gen_21 COC.Cn1cc(/C=C2\C(=O)NN=C2c2snnc2S)c2ccccc21 6.903 0.644
gen_22 Cc1nnsc1C1=NNC(=O)/C1=C\c1cn(C)c2ccccc12 6.730 0.471
gen_23 Cn1cc(/C=C2\C(=O)NN=C2c2cnns2)c2ccccc21 6.601 0.343
gen_24 Cn1cc(/C=C2\C(=O)NN=C2c2cnns2)c2ccccc21 6.601 0.343
gen_25 Cc1nnsc1C1=NNC(=O)/C1=C\c1cn(C)c2ccccc12 6.730 0.471
gen_26 Cn1cc(/C=C2\C(=O)NN=C2c2cnns2)c2ccccc21 6.601 0.343
gen_27 Cn1cc(/C=C2\C(=O)NN=C2c2cnns2)c2ccccc21 6.601 0.343
gen_28 Cn1cc(/C=C2\C(=O)NN=C2c2cnns2)c2ccccc21 6.601 0.343
gen_29 Cn1cc(/C=C2\C(=O)NN=C2c2cnns2)c2ccccc21 6.601 0.343

ID SCAFFOLD PROPERTY DIFF
CHEMBL2403375 O=C1Nc2ccccc2/C1=C/c1cc2c([nH]1)CCNC2 6.503

ID SCAFFOLD PROPERTY DIFF
CHEMBL2403371 O=C1Nc2ccccc2/C1=C/c1cc2c([nH]1)CCNC2 6.503
gen_0 CCNCC.COCN1CCc2c(cc(/C=C3\C(=O)Nc4ccc(C)cc43)n2C)C1 6.638 0.135

ID SCAFFOLD PROPERTY DIFF
CHEMBL391181 c1ccc(Cn2ncc3cc(Nc4ncnn5ccc(CN6CCCCC6)c45)ccc32)cc1 6.599
gen_0 NC1CCN(Cc2ccn3ncnc(Nc4ccc5c(cnn5Cc5ccccc5)c4)c23)CC1 6.894 0.295
gen_1 OC1CCN(Cc2ccn3ncnc(Nc4ccc5c(cnn5Cc5ccccc5)c4)c23)CC1 6.734 0.135
gen_2 OC1CCN(Cc2ccn3ncnc(Nc4ccc5c(cnn5Cc5ccccc5)c4)c23)CC1 6.734 0.135
gen_3 OC1CCN(Cc2ccn3ncnc(Nc4ccc5c(cnn5Cc5ccccc5)c4)c23)CC1 6.734 0.135
