ID SCAFFOLD PROPERTY DIFF
CHEMBL492956 O=C(Nc1cccc(Nc2ncc(-c3cccnc3)s2)c1)c1ccccc1 5.489
gen_0 CN(C)C.O=C(Nc1ccc([Cl:0])c(Nc2ncc(-c3cccnc3)s2)c1)c1ccccc1 7.025 1.537
gen_1 Cc1cccc(C(=O)Nc2ccc(C)c(Nc3ncc(-c4cccnc4)s3)c2)c1 6.590 1.102
gen_2 Cc1cccc(C(=O)Nc2ccc(C)c(Nc3ncc(-c4cccnc4)s3)c2)c1 6.590 1.102
gen_3 Cc1cccc(C(=O)Nc2ccc(C)c(Nc3ncc(-c4cccnc4)s3)c2)c1 6.590 1.102
gen_4 Nc1ccccc1C(=O)Nc1cccc(Nc2ncc(-c3cccnc3)s2)c1 5.522 0.034
gen_5 Cc1cc(C)cc(C(=O)Nc2ccc(C)c(Nc3ncc(-c4ccc(C)nc4)s3)c2)c1 6.923 1.434
gen_6 Cc1cccc(C(=O)Nc2ccc(C)c(Nc3ncc(-c4cncc(C)c4)s3)c2)c1 6.830 1.342
gen_7 CCNC.Cc1ccc(-c2cnc(Nc3cccc(NC(=O)c4ccccc4)c3)s2)cn1 6.438 0.949
gen_8 Cc1cc(C)cc(C(=O)Nc2ccc(C)c(Nc3ncc(-c4ccc(C)nc4)s3)c2)c1 6.923 1.434
gen_9 Cc1cccc(C(=O)Nc2ccc(C)c(Nc3ncc(-c4cccnc4)s3)c2)c1 6.590 1.102
gen_10 Cc1ccc(C(=O)Nc2ccc(C)c(Nc3ncc(-c4cccnc4)s3)c2)cc1 6.639 1.151
gen_11 Cc1ccc(C(=O)Nc2ccc(C)c(Nc3ncc(-c4cccnc4)s3)c2)cc1 6.639 1.151
gen_12 CCc1ccc(C(=O)Nc2ccc(C)c(Nc3ncc(-c4cccnc4)s3)c2)cc1.CN(C)C 6.935 1.446
gen_13 Cc1cc(C)cc(C(=O)Nc2ccc(C)c(Nc3ncc(-c4ccc(C)nc4)s3)c2)c1 6.923 1.434
gen_14 Cc1cccc(C(=O)Nc2ccc(C)c(Nc3ncc(-c4cccnc4)s3)c2)c1 6.590 1.102
gen_15 CNC(C)=O.O=C(Nc1cccc(Nc2ncc(-c3cccnc3)s2)c1)c1ccccc1 5.464 0.025
