ID SCAFFOLD PROPERTY DIFF
CHEMBL2000114 c1ncc2cc[nH]c2n1 5.861

ID SCAFFOLD PROPERTY DIFF
CHEMBL495545 c1cnn2ncc(-c3ccnc(Nc4ccc(N5CCNCC5)cc4)n3)c2c1 5.874
gen_0 CCN(C)C.Cc1ccc2c(-c3ccnc(Nc4ccc(N5CCN(C)CC5)cc4)n3)cnn2n1 6.489 0.615
gen_1 CCO.Cc1cc2c(-c3ccnc(Nc4ccc(N5CCN(C)CC5)cc4)n3)cnn2nc1O 6.536 0.663
gen_2 CCNC.Cc1cc(-c2cnn3nc(NC(=O)N(C)C)cc(C)c23)nc(Nc2ccc(N3CCN(C)CC3)cc2C)n1 6.909 1.035
gen_3 Cc1nn2nc(O)ccc2c1-c1ccnc(Nc2ccc(N3CCN(C)CC3)cc2)n1 7.127 1.254
gen_4 CCCO.Cc1cnc(Nc2ccc(N3CCN(C)CC3)cc2)nc1-c1cnn2nc(O)ccc12 6.950 1.076
gen_5 CCN(C)C.Cc1cnc(Nc2ccc(N3CCN(C)CC3)cc2)nc1-c1cnn2ncccc12 6.126 0.253
gen_6 CN1CCN(c2ccc(Nc3nccc(-c4cnn5nc(O)ccc45)n3)cc2)CC1 6.569 0.696
gen_7 Cc1nn2ncccc2c1-c1ccnc(Nc2ccc(N3CCN(C)CC3)cc2)n1 6.742 0.868
gen_8 Cc1nn2ncccc2c1-c1ccnc(Nc2ccc(N3CCN(C)CC3)cc2)n1 6.742 0.868
gen_9 CC(C)C.CN1CCN(c2ccc(Nc3nccc(-c4cnn5ncccc45)n3)cc2)CC1 6.255 0.382
gen_10 Cc1nn2ncccc2c1-c1ccnc(Nc2ccc(N3CCN(C)CC3)cc2)n1 6.742 0.868
gen_11 Cc1cc(-c2cnn3nc(C)ccc23)nc(Nc2ccc(N3CCN(C)CC3)cc2)n1 6.503 0.629
gen_12 CCNC.Cc1cnn2nc(C)c(-c3ccnc(Nc4ccc(N5CCN(C)CC5)cc4)n3)c2c1 6.389 0.516
gen_13 CCNC.Cc1ccnn2ncc(-c3ccnc(Nc4ccc(N5CCN(C)CC5)cc4)n3)c12 6.737 0.863
gen_14 CCO.Cc1cnc(Nc2ccc(N3CC[N+](C)(C)CC3)cc2)nc1-c1c(O)nn2nccc(C)c12 7.028 1.155
gen_15 CCNC.Cc1cnn2ncc(-c3ccnc(Nc4ccc(N5CCN(C)CC5)cc4)n3)c2c1 6.222 0.348
gen_16 CCC.Cc1ccc2c(-c3ccnc(Nc4ccc(N5CCN(C)CC5)cc4)n3)cnn2n1 5.643 0.231
gen_17 CCC.Cc1cnn2nc(C)c(-c3cc(C)nc(Nc4ccc(N5CCN(C)CC5)cc4)n3)c2c1 5.474 0.400
gen_18 CCCO.Cc1cc(-c2c(N)nn3nc(N)cc(C)c23)nc(Nc2ccc(N3CCN(C)CC3)cc2)n1 5.769 0.105
gen_19 CCCO.CN1CCN(c2ccc(Nc3nccc(-c4cnn5ncccc45)n3)cc2)CC1 5.658 0.215
gen_20 CN(C)C.Cc1cnc(Nc2ccc(N3CCN(C)CC3)cc2)nc1-c1cnn2nc(O)ccc12 6.519 0.645
gen_21 Cc1nn2ncccc2c1-c1ccnc(Nc2ccc(N3CCN(C)CC3)cc2)n1 6.742 0.868
gen_22 CCOC.Cc1cc(-c2cnn3nc(O)ccc23)nc(Nc2ccc(N3CCN(C)CC3)cc2)n1 6.928 1.055
gen_23 CC.c1cnn2ncc(-c3ccnc(Nc4ccc(N5CCNCC5)cc4)n3)c2c1 5.501 0.373
gen_24 CCN(C)C.Cc1cnc(Nc2ccc(N3CCN(C)CC3)cc2)nc1-c1cnn2nc(N)cc(C)c12 6.291 0.417
gen_25 CCC.Cc1cnc(Nc2ccc(N3CCN(C)CC3)cc2)nc1-c1cnn2nc(O)ccc12 7.012 1.139
gen_26 CCN(C)C.Cc1cnc(Nc2ccc(N3CCN(C)CC3)cc2)nc1-c1cnn2nc(O)cc(C)c12 7.260 1.387

ID SCAFFOLD PROPERTY DIFF
CHEMBL1977749 N=c1cc(-c2ccccc2)oc2ccccc12 5.654
gen_0 CC.N=c1cc(-c2ccccc2)oc2cc(N)ccc12 5.312 0.342
gen_1 CO.Cc1ccc2c(=N)cc(-c3ccccc3)oc2c1 5.520 0.134
gen_2 N=c1cc(-c2ccccc2)oc2ccccc12 5.654 0.000
gen_3 Cc1ccc(-c2cc(=N)c3ccccc3o2)cc1.NO 5.563 0.091
gen_4 ON=c1cc(-c2ccccc2)oc2ccccc12 4.901 0.753
gen_5 CCC.N=c1cc(-c2ccccc2)oc2cc([N+](=O)O)ccc12 4.687 0.967
