ID SCAFFOLD PROPERTY DIFF
STOCK1S-00003 C(=N/c1ccc2nccnc2c1)\c1ccccc1 3.380
gen_0 Cc1nc2ccc(/N=C/c3ccc([Cl:0])cc3)cc2nc1C 4.491 1.111
gen_1 C[Br:0].Cc1ccc(/C=N/c2ccc3nccnc3c2)cc1 3.502 0.121
gen_2 Cc1cnc2ccc(/N=C/c3ccc([Cl:0])cc3)cc2n1 4.265 0.884
gen_3 C(=N/c1ccc2nccnc2c1)\c1ccccc1.CCCCCC 4.109 0.728
gen_4 C(=N/c1ccc2nccnc2c1)\c1ccccc1.CCCCC 3.714 0.334
gen_5 C(=N/c1ccc2nccnc2c1)\c1ccccc1.CCC 3.459 0.079
gen_6 Cc1cnc2ccc(/N=C/c3ccc([Br:0])cc3)cc2n1 4.370 0.989
gen_7 Cc1cnc2cc(/N=C/c3cccc([Br:0])c3)ccc2n1 4.359 0.979
gen_8 Cc1ccc(/C=N/c2ccc3nc(C)cnc3c2)cc1 3.943 0.563
gen_9 Cc1cnc2ccc(/N=C/c3cccc([Br:0])c3O)cc2n1 3.915 0.535
gen_10 Cc1cnc2ccc(/N=C/c3ccc(O)c([Br:0])c3)cc2n1 3.881 0.500
gen_11 CCCN(CC)C(C)=O.CCCOc1ccc(/C=N/c2ccc3nc(C)cnc3c2)cc1[Br:0] 3.689 0.309
gen_12 Oc1c([Br:0])cccc1/C=N/c1cc([Cl:0])c2nccnc2c1 4.223 0.843
gen_13 [Cl:0]c1ccc(/C=N/c2ccc3nccnc3c2)cc1 3.934 0.554
gen_14 Cc1ccc(/C=N/c2ccc3ncc(C)nc3c2)cc1 3.942 0.562
gen_15 Cc1cnc2ccc(/N=C/c3ccc(C)c([Br:0])c3O)cc2n1 4.179 0.798
gen_16 [Br:0]c1cccc(/C=N/c2ccc3nccnc3c2)c1 4.033 0.653
gen_17 [Br:0]c1ccccc1/C=N/c1ccc2nccnc2c1 4.051 0.671
gen_18 C(=N/c1ccc2nccnc2c1)\c1ccccc1.CCC 3.459 0.079
gen_19 Cc1cnc2cc(/N=C/c3ccccc3[Cl:0])ccc2n1 4.282 0.902
gen_20 Cc1cnc2ccc(/N=C/c3ccc([Cl:0])cc3)cc2n1 4.265 0.884
gen_21 C(=N/c1ccc2nccnc2c1)\c1ccccc1.CC=O 2.467 0.914
gen_22 CCCC[Cl:0].Oc1ccc(/C=N/c2ccc3nc([Cl:0])cnc3c2)cc1 3.457 0.077
